team_name,short_name,overall,age,year,player_face_url
Deportivo Pasto,M. Casierra,70,31,2018,https://cdn.sofifa.net/players/214/118/18_120.png
Deportivo Pasto,E. Hernández,70,31,2018,https://cdn.sofifa.net/players/221/463/18_120.png
Deportivo Pasto,J. Lopera,70,30,2018,https://cdn.sofifa.net/players/214/106/18_120.png
River Plate,L. Pisculichi,75,32,2017,https://cdn.sofifa.net/players/158/969/17_120.png
River Plate,R. Aliendro,75,31,2023,https://cdn.sofifa.net/players/233/029/23_120.png
River Plate,J. Saviola,75,33,2016,https://cdn.sofifa.net/players/001/803/16_120.png
Universidad Católica,J. Fuenzalida,75,31,2017,https://cdn.sofifa.net/players/196/069/17_120.png
Universidad Católica,F. Zampedri,75,33,2022,https://cdn.sofifa.net/players/232/670/22_120.png
Universidad Católica,L. Aued,75,31,2019,https://cdn.sofifa.net/players/206/152/19_120.png
Antalyaspor,Luiz Adriano,75,35,2023,https://cdn.sofifa.net/players/180/826/23_120.png
Antalyaspor,A. Poli,75,31,2022,https://cdn.sofifa.net/players/185/174/22_120.png
Antalyaspor,L. Podolski,74,35,2021,https://cdn.sofifa.net/players/150/516/21_120.png
Perth Glory,Diego Castro,75,34,2018,https://cdn.sofifa.net/players/147/006/18_120.png
Perth Glory,B. Fornaroli,74,31,2020,https://cdn.sofifa.net/players/189/225/20_120.png
Perth Glory,D. Sturridge,72,31,2022,https://cdn.sofifa.net/players/171/833/22_120.png
Rosario Central,M. Ruben,75,34,2022,https://cdn.sofifa.net/players/165/560/22_120.png
Rosario Central,M. Caruzzo,75,33,2019,https://cdn.sofifa.net/players/190/576/19_120.png
Rosario Central,J. Pinola,75,33,2017,https://cdn.sofifa.net/players/146/963/17_120.png
Western Sydney Wanderers,N. Müller,75,31,2020,https://cdn.sofifa.net/players/183/871/20_120.png
Western Sydney Wanderers,Cejudo,74,33,2018,https://cdn.sofifa.net/players/146/377/18_120.png
Western Sydney Wanderers,P. Schwegler,74,33,2021,https://cdn.sofifa.net/players/158/905/21_120.png
